Samples	N0	N1	N2	N3	N4	N5	N6	N7	N8
PD44888_17_branch_snp	0.000264084210526316	0.728984	0.0205565473684211	0.206462484210526	0.00217288421052632	0.0380788210526316	0.00346282105263158	1.69263157894737e-05	1.43157894736842e-06
PD44888_18_branch_snp	0.000453726315789474	0.705278484210526	0.00500042105263158	0.2760992	0.00199107368421053	0.00435073684210526	0.00671966315789474	0.000106021052631579	6.73684210526316e-07
PD44888_19_branch_snp	0.00146753684210526	0.673767747368421	0.0629189052631579	0.206312673684211	0.00383957894736842	0.0333561263157895	0.0183203368421053	4.37894736842105e-06	1.27157894736842e-05
PD44888_1_branch_snp	0.00188968421052632	0.740999915789474	0.00526433684210526	0.191478905263158	0.00310383157894737	0.0510184421052632	0.00623334736842105	1.07789473684211e-05	7.57894736842105e-07
PD44888_20_branch_snp	0.00228251904662054	0.798046830222968	0.00582288390298455	0.118836094219613	0.0193460543789753	0.0114472635772699	0.0441350387921996	7.32508562242259e-05	1.00650031453135e-05
PD44888_21_branch_snp	0.000787516080317691	0.771001286425415	0.00579227026120029	0.199635102634376	0.00677263829073214	0.00449890933497399	0.0114807315845405	1.85692712120365e-05	1.29761172325074e-05
PD44888_22_branch_snp	0.00320589473684211	0.786907031578947	0.00486088421052632	0.133415157894737	0.0331477894736842	0.00251082105263158	0.0359224421052632	2.61052631578947e-05	3.87368421052632e-06
PD44888_23_branch_snp	0.0004592	0.7920096	0.00211578947368421	0.168767831578947	0.00156631578947368	0.0113244631578947	0.0237362526315789	1.99578947368421e-05	5.89473684210526e-07
PD44888_24_branch_snp	0.000468631578947368	0.700209768421053	0.00224816842105263	0.249956210526316	0.00172126315789474	0.0354496842105263	0.00993532631578947	1.02736842105263e-05	6.73684210526316e-07
PD44888_25_branch_snp	0.000591831578947368	0.808430231578947	0.00268867368421053	0.169163536842105	0.00310248421052632	0.00328446315789474	0.0127277473684211	8.25263157894737e-06	2.77894736842105e-06
PD44888_2_branch_snp	0.00201675789473684	0.701263747368421	0.00298054736842105	0.257502315789474	0.00241229473684211	0.0269920842105263	0.00681498947368421	1.26315789473684e-05	4.63157894736842e-06
PD44888_31_branch_snp	0.000487663157894737	0.713444210526316	0.0307813894736842	0.219284968421053	0.0193933473684211	0.00260463157894737	0.0139330526315789	6.66105263157895e-05	4.12631578947368e-06
PD44888_34_branch_snp	0.00437271578947368	0.787328336842105	0.0199201684210526	0.139684631578947	0.00983402105263158	0.0191492210526316	0.0196400842105263	6.73684210526316e-05	3.45263157894737e-06
PD44888_35_branch_snp	0.000628018248581284	0.938778680316012	0.00597351730277067	0.02639724045844	0.0186144430844553	0.00228151774785802	0.00729542672749527	2.67052409035273e-05	4.45087348392122e-06
PD44888_36_branch_snp	0.00120530526315789	0.837594189473684	0.00376522105263158	0.0639407157894737	0.070491452631579	0.002464	0.0204662736842105	5.86947368421053e-05	1.41473684210526e-05
PD44888_37_branch_snp	0.00287452631578947	0.892234021052632	0.0155266526315789	0.0420641684210526	0.0350991157894737	0.00673002105263158	0.00545818947368421	1.20421052631579e-05	1.26315789473684e-06
PD44888_38_branch_snp	0.000527073684210526	0.918699284210526	0.0121747368421053	0.0287769263157895	0.0305999157894737	0.00232075789473684	0.00688016842105263	1.95368421052632e-05	1.6e-06
PD44888_39_branch_snp	0.00131774378327381	0.758703686232226	0.00174000943459802	0.0989527596199205	0.0601059370577532	0.00313929510074803	0.0759712918660287	1.38823370847092e-05	5.53945683671406e-05
PD44888_3_branch_snp	0.00830913684210526	0.697989642105263	0.00217372631578947	0.2480608	0.00605448421052632	0.0213674947368421	0.0160190315789474	2.20631578947368e-05	3.62105263157895e-06
PD44888_40_branch_snp	0.00119524617996604	0.534297113752122	0.0117181663837012	0.194393887945671	0.00518166383701188	0.00469949066213922	0.248478777589134	3.2258064516129e-05	3.3955857385399e-06
PD44888_45_branch_snp	0.00058501052631579	0.706866357894737	0.00401271578947368	0.261949052631579	0.00699621052631579	0.00243629473684211	0.0171417263157895	7.66315789473684e-06	4.96842105263158e-06
PD44888_46_branch_snp	0.000445221052631579	0.813080421052632	0.0117551157894737	0.133855410526316	0.0117334736842105	0.00185541052631579	0.0272648421052632	7.1578947368421e-06	2.94736842105263e-06
PD44888_47_branch_snp	0.000387783840873086	0.889580707621898	0.00431473332159831	0.0857345537757437	0.00336806900193628	0.00408959690195388	0.0125034324942792	1.97148389368069e-05	1.40820278120049e-06
PD44888_49_branch_snp	0.000697649973721751	0.62831263608379	0.00404790149410616	0.299481642765973	0.00314483069299497	0.00259373826863879	0.0617035813499512	1.53164652000901e-05	2.70290562354531e-06
PD44888_4_branch_snp	0.00443461052631579	0.667674189473684	0.004832	0.280438821052632	0.00518357894736842	0.0258259368421053	0.0115824	2.52631578947368e-05	3.2e-06
PD44888_5_branch_snp	0.0127988210526316	0.694883621052632	0.0050912	0.234872084210526	0.00350349473684211	0.0223513263157895	0.0264676210526316	2.60210526315789e-05	5.81052631578947e-06
PD44888_6_branch_snp	0.00272059342988343	0.700609678558813	0.00693182620981985	0.178204168138467	0.091541504768633	0.00896714941716708	0.0109735075944896	5.08654185800071e-05	7.06464146944543e-07
PD44888_7_branch_snp	0.0290752753977968	0.687147490820073	0.00441309669522644	0.188063035495716	0.0355771113831089	0.0234632802937576	0.0321689106487148	8.62913096695226e-05	5.50795593635251e-06
PD44888_8_branch_snp	0.00231501902056147	0.797517022198681	0.0258130688110945	0.0738928107092984	0.0239189098088313	0.00423065440362113	0.0722934463331247	1.46386093321135e-05	4.43010545577118e-06
PD44888_9_branch_snp	0.00313785263157895	0.759091284210526	0.0086218947368421	0.128414484210526	0.0600454736842105	0.00437061052631579	0.0358047157894737	7.57894736842105e-06	0.000506105263157895
PD44889_10_branch_snp	0.00075187969924812	0.736790347962931	0.0180059450952964	0.207571953138661	0.00270326980241301	0.000788949116978493	0.0312586116453926	0.00212904353908026	0
PD44889_11_branch_snp	0.0055344	0.65399612631579	0.0124525473684211	0.291616673684211	0.00202214736842105	0.00307553684210526	0.0302375578947368	0.00106341052631579	1.6e-06
PD44889_12_branch_snp	0.000712505263157895	0.691580294736842	0.00434492631578947	0.281567242105263	0.000667957894736842	0.000493642105263158	0.0200565894736842	0.000576842105263158	0
PD44889_13_branch_snp	0.00290282105263158	0.727471663157895	0.00295191578947368	0.247721768421053	0.00268042105263158	0.00112067368421053	0.0105385263157895	0.00460976842105263	2.44210526315789e-06
PD44889_14_branch_snp	0.0016464	0.738645052631579	0.00566677894736842	0.222442105263158	0.00127435789473684	0.00163267368421053	0.0278680421052632	0.000823747368421053	8.42105263157895e-07
PD44889_15_branch_snp	0.000757894736842105	0.728881936842105	0.0120378947368421	0.227645473684211	0.00158745263157895	0.000870568421052632	0.0275270736842105	0.000690021052631579	1.68421052631579e-06
PD44889_16_branch_snp	0.00138290526315789	0.758966821052632	0.00428193684210526	0.206195789473684	0.00210913684210526	0.00101827368421053	0.0256870736842105	0.000356715789473684	1.34736842105263e-06
PD44889_17_branch_snp	0.0005408	0.738320673684211	0.0063072	0.2304368	0.000806063157894737	0.000530610526315789	0.0223185684210526	0.0007392	8.42105263157895e-08
PD44889_18_branch_snp	0.00144926315789474	0.741029978947368	0.00353271578947368	0.214667536842105	0.000720842105263158	0.00112345263157895	0.0351901473684211	0.00228581052631579	2.52631578947368e-07
PD44889_19_branch_snp	0.000649936842105263	0.710247410526316	0.0166859789473684	0.253214568421053	0.00160084210526316	0.000671578947368421	0.0165350736842105	0.000394021052631579	5.89473684210526e-07
PD44889_1_branch_snp	0.0012666253869969	0.754012631578947	0.00641386996904025	0.183358513931889	0.0126806191950464	0.000713808049535604	0.0398251393188854	0.00172334365325077	5.44891640866873e-06
PD44889_20_branch_snp	0.00735764210526316	0.726863242105263	0.00422509473684211	0.224726063157895	0.00156016842105263	0.00581313684210526	0.0285205894736842	0.000933557894736842	5.05263157894737e-07
PD44889_21_branch_snp	0.0003488	0.725190905263158	0.011176	0.246983831578947	0.000680505263157895	0.000165052631578947	0.0152144842105263	0.000240084210526316	3.36842105263158e-07
PD44889_22_branch_snp	0.00145254736842105	0.703048757894737	0.00579562105263158	0.249301557894737	0.00620126315789474	0.00315309473684211	0.0222463157894737	0.00879974736842105	1.09473684210526e-06
PD44889_23_branch_snp	0.000912421052631579	0.689472757894737	0.0104401684210526	0.286618694736842	0.000999073684210526	0.00181827368421053	0.00908690526315789	0.000651031578947368	6.73684210526316e-07
PD44889_24_branch_snp	0.000422821052631579	0.748232	0.00589827368421053	0.217144842105263	0.00115284210526316	0.000288505263157895	0.0257658947368421	0.00109397894736842	8.42105263157895e-07
